ID,assetNumber,description,category,acquisitionDate,acquisitionCost,accumulatedDepreciation,netBookValue,usefulLife,depreciationMethod,location,costCenter_ID,assignedTo_ID,serialNumber,status,disposalDate,disposalAmount,vendor_ID
fa001,FA-BLD001,Bluth Company Headquarters Building,Buildings,1985-06-15,5500000.00,2750000.00,2750000.00,40,Straight-Line,Newport Beach,cc-exec,,BLDHQ001,Active,,,
fa002,FA-BLD002,Model Home 1 - Sudden Valley,Buildings,2004-03-15,850000.00,212500.00,637500.00,40,Straight-Line,Sudden Valley,cc-const,,MODH001,Active,,,
fa003,FA-BLD003,Model Home 2 - Sudden Valley,Buildings,2004-03-15,850000.00,212500.00,637500.00,40,Straight-Line,Sudden Valley,cc-const,,MODH002,Active,,,
fa004,FA-BLD004,Model Home 3 - Sudden Valley (Show Home),Buildings,2004-03-15,950000.00,237500.00,712500.00,40,Straight-Line,Sudden Valley,cc-const,,MODH003,Active,,,
fa005,FA-LND001,Sudden Valley Land - Phase 1,Land,2002-06-01,8000000.00,0.00,8000000.00,0,None,Sudden Valley,cc-const,,,Active,,,
fa006,FA-LND002,Sudden Valley Land - Phase 2,Land,2005-01-15,7000000.00,0.00,7000000.00,0,None,Sudden Valley,cc-const,,,Impaired,,,
fa007,FA-VEH001,Stair Car,Vehicles,2000-07-15,45000.00,40500.00,4500.00,10,Straight-Line,Bluth HQ Parking,cc-exec,emp003,STAIR001,Active,,,
fa008,FA-VEH002,Yacht Seaward,Vehicles,1998-04-01,1200000.00,720000.00,480000.00,20,Straight-Line,Newport Harbor,cc-exec,emp002,YACHT001,Active,,,v011
fa009,FA-VEH003,Company Sedan 1,Vehicles,2003-08-01,45000.00,36000.00,9000.00,5,Straight-Line,Bluth HQ Parking,cc-exec,emp003,CAR001,Active,,,
fa010,FA-VEH004,Company Sedan 2,Vehicles,2003-08-01,45000.00,36000.00,9000.00,5,Straight-Line,Bluth HQ Parking,cc-exec,emp002,CAR002,Active,,,
fa011,FA-VEH005,Segway Fleet (12 units),Vehicles,2004-06-15,78000.00,46800.00,31200.00,5,Straight-Line,Various,cc-magic,emp004,SEG001-012,Active,,,v007
fa012,FA-EQP001,Banana Stand - Original,Equipment,1975-01-01,12000.00,12000.00,0.00,10,Straight-Line,Balboa Beach,cc-banana,,BSTAND001,Disposed,2004-08-15,0.00,
fa013,FA-EQP002,Banana Stand - Replacement,Equipment,2004-12-01,25000.00,5000.00,20000.00,10,Straight-Line,Balboa Beach,cc-banana,,BSTAND002,Active,,,
fa014,FA-EQP003,Magic Illusion Equipment,Equipment,2003-05-01,125000.00,75000.00,50000.00,5,Straight-Line,GOB Storage Unit,cc-magic,emp004,MAGIC001,Active,,,v006
fa015,FA-EQP004,Cornballer Manufacturing Equipment,Equipment,2001-09-01,350000.00,280000.00,70000.00,5,Straight-Line,Mexico Warehouse,cc-mexico,emp001,CORN001,Active,,,v005
fa016,FA-OFF001,Office Furniture - HQ,Furniture,2001-03-15,185000.00,148000.00,37000.00,7,Straight-Line,Bluth HQ,cc-exec,,FURN001,Active,,,
fa017,FA-OFF002,Executive Desk - Hidden Compartment,Furniture,2001-06-01,15000.00,12000.00,3000.00,7,Straight-Line,CEO Office,cc-exec,emp001,DESKSPEC,Active,,,
fa018,FA-IT001,Computer Equipment,IT Equipment,2022-01-15,85000.00,42500.00,42500.00,5,Straight-Line,Bluth HQ,cc-tech,emp007,IT2022,Active,,,
fa019,FA-BLD005,Iraq Model Home,Buildings,2005-09-01,2500000.00,250000.00,2250000.00,40,Straight-Line,Baghdad,cc-iraq,,IRAQMOD001,Active,,,v013
fa020,FA-LND003,Iraq Land Parcel,Land,2005-06-01,2000000.00,0.00,2000000.00,0,None,Baghdad,cc-iraq,,,Active,,,v013
