ID,invoiceNumber,vendor_ID,invoiceDate,dueDate,postingDate,companyCode_ID,glAccount_ID,costCenter_ID,project_ID,amount,currency_code,taxAmount,description,paymentStatus,paymentDate,paymentMethod,approvedBy,threeWayMatch,poNumber,receiptNumber
vi001,ZL-2024-001,v002,2024-01-15,2024-02-14,2024-01-16,cc01,gl037,cc-legal,,45000.00,USD,0.00,Monthly retainer - SEC defense preparation,Paid,2024-02-10,Wire,Lucille Bluth,false,,
vi002,ZL-2024-002,v002,2024-02-15,2024-03-16,2024-02-16,cc01,gl037,cc-legal,,67500.00,USD,0.00,SEC deposition preparation - George Sr,Paid,2024-03-12,Wire,Lucille Bluth,false,,
vi003,ZL-2024-003,v002,2024-03-15,2024-04-14,2024-03-16,cc01,gl037,cc-legal,,125000.00,USD,0.00,Emergency hearing - George Sr escape,Paid,2024-04-10,Wire,Lucille Bluth,false,,
vi004,ZL-2024-004,v002,2024-04-15,2024-05-15,2024-04-16,cc01,gl037,cc-legal,,89000.00,USD,0.00,Settlement negotiation services,Paid,2024-05-10,Wire,Lucille Bluth,false,,
vi005,JL-2024-001,v004,2024-05-01,2024-06-15,2024-05-02,cc01,gl037,cc-legal,,35000.00,USD,0.00,Second opinion on SEC matters,Paid,2024-06-12,Wire,Michael Bluth,true,PO-2024-001,RCP-2024-001
vi006,SW-2024-001,v001,2024-02-01,2024-03-02,2024-02-02,cc01,gl039,cc-const,proj001,250000.00,USD,0.00,Sudden Valley land swap - consulting,Paid,2024-02-28,Wire,Michael Bluth,false,,
vi007,SW-2024-002,v001,2024-06-15,2024-07-15,2024-06-16,cc01,gl039,cc-const,proj001,175000.00,USD,0.00,Related party real estate advisory,Open,,,Michael Bluth,false,,
vi008,BT-2024-001,v010,2024-01-01,2024-01-02,2024-01-01,cc01,gl041,cc-exec,,13000.00,USD,0.00,Balboa Towers January rent - Lucille residence,Paid,2024-01-02,Wire,George Bluth Sr,false,,
vi009,BT-2024-002,v010,2024-02-01,2024-02-02,2024-02-01,cc01,gl041,cc-exec,,13000.00,USD,0.00,Balboa Towers February rent - Lucille residence,Paid,2024-02-02,Wire,George Bluth Sr,false,,
vi010,BT-2024-003,v010,2024-03-01,2024-03-02,2024-03-01,cc01,gl041,cc-exec,,13000.00,USD,0.00,Balboa Towers March rent - Lucille residence,Paid,2024-03-02,Wire,George Bluth Sr,false,,
vi011,AOM-2024-001,v006,2024-03-15,2024-04-14,2024-03-16,cc01,gl043,cc-magic,,15000.00,USD,0.00,Annual Alliance of Magicians dues,Paid,2024-04-10,Check,GOB Bluth,false,,
vi012,AOM-2024-002,v006,2024-06-01,2024-06-30,2024-06-02,cc01,gl043,cc-magic,,25000.00,USD,0.00,Sword of Destiny illusion rental,Paid,2024-06-25,Check,GOB Bluth,false,,
vi013,FMN-2024-001,v009,2024-04-01,2024-04-01,2024-04-01,cc01,gl039,cc-magic,,5000.00,USD,0.00,Special pharmaceutical supplies,Paid,2024-04-01,Cash,GOB Bluth,false,,
vi014,FMN-2024-002,v009,2024-08-15,2024-08-15,2024-08-15,cc01,gl039,cc-magic,,7500.00,USD,0.00,Additional pharmaceutical order,Paid,2024-08-15,Cash,GOB Bluth,false,,
vi015,BEES-2024-001,v008,2024-05-01,2024-05-15,2024-05-02,cc01,gl043,cc-magic,,8500.00,USD,0.00,Bee colony for magic act,Paid,2024-05-12,Check,GOB Bluth,false,,
vi016,CMM-2024-001,v005,2024-01-15,2024-03-15,2024-01-16,cc02,gl033,cc-mexico,proj004,45000.00,MXN,3600.00,Cornballer production run - 500 units,Paid,2024-03-10,Wire,George Bluth Sr,true,PO-MX-001,RCP-MX-001
vi017,SHC-2024-001,v013,2024-03-01,2024-05-30,2024-03-02,cc03,gl031,cc-iraq,proj003,750000.00,USD,0.00,Iraq model home construction Phase 1,Paid,2024-05-28,Wire,George Bluth Sr,false,,
vi018,SHC-2024-002,v013,2024-06-01,2024-08-30,2024-06-02,cc03,gl031,cc-iraq,proj003,850000.00,USD,0.00,Iraq model home construction Phase 2,Open,,,George Bluth Sr,false,,
vi019,YSI-2024-001,v011,2024-04-15,2024-05-15,2024-04-16,cc01,gl042,cc-exec,,35000.00,USD,0.00,Yacht Seaward quarterly maintenance,Paid,2024-05-12,Wire,Lucille Bluth,false,,
vi020,YSI-2024-002,v011,2024-07-15,2024-08-14,2024-07-16,cc01,gl042,cc-exec,,42000.00,USD,0.00,Yacht Seaward summer maintenance and party prep,Paid,2024-08-10,Wire,Lucille Bluth,false,,
vi021,HC-2024-001,v022,2024-08-10,2024-08-10,2024-08-10,cc01,gl042,cc-mktg,,2500.00,USD,0.00,Entertainment for company party,Paid,2024-08-10,Cash,Lindsay Bluth Funke,false,,
vi022,TC-2024-001,v023,2024-09-15,2024-10-15,2024-09-16,cc01,gl042,cc-exec,,8500.00,USD,0.00,Client dinner - Sitwell negotiations,Paid,2024-10-10,Credit Card,Michael Bluth,false,,
vi023,PP-2024-001,v018,2024-02-01,2024-02-28,2024-02-02,cc01,gl039,cc-exec,,12000.00,USD,0.00,Corporate investigation - internal matter,Paid,2024-02-25,Check,Lucille Bluth,false,,
vi024,PP-2024-002,v018,2024-05-15,2024-06-14,2024-05-16,cc01,gl039,cc-exec,,8500.00,USD,0.00,Follow-up investigation - Kitty situation,Paid,2024-06-10,Check,Lucille Bluth,false,,
vi025,CW-2024-001,v019,2024-03-01,2024-03-31,2024-03-02,cc01,gl039,cc-magic,,5500.00,USD,0.00,Acting coaching for GOB - Yacht commercial,Paid,2024-03-28,Check,GOB Bluth,false,,
vi026,CW-2024-002,v019,2024-07-15,2024-08-14,2024-07-16,cc01,gl039,cc-magic,,4200.00,USD,0.00,Stew preparation consulting,Paid,2024-08-10,Check,GOB Bluth,false,,
vi027,AU-2024-001,v020,2024-04-01,2024-05-01,2024-04-02,cc01,gl039,cc-const,proj001,125000.00,USD,0.00,Sudden Valley joint venture consulting,Paid,2024-04-28,Wire,Michael Bluth,false,,
vi028,CM-2024-001,v021,2024-06-01,2024-07-31,2024-06-02,cc03,gl031,cc-iraq,proj003,450000.00,USD,0.00,Iraq construction - classified services,Open,,,George Bluth Sr,false,,
vi029,SC-2024-001,v024,2024-09-01,2024-09-30,2024-09-02,cc01,gl048,cc-mktg,,35000.00,USD,0.00,Video production services,Paid,2024-09-28,Wire,Lindsay Bluth Funke,false,,
vi030,SEG-2024-001,v007,2024-05-01,2024-06-01,2024-05-02,cc01,gl012,cc-magic,,78000.00,USD,0.00,Segway fleet purchase - 12 units,Paid,2024-05-28,Wire,GOB Bluth,true,PO-2024-010,RCP-2024-010
