ID,projectNumber,name,description,projectType,status,startDate,plannedEndDate,actualEndDate,budget,actualCost,costVariance,projectManager_ID,companyCode_ID,costCenter_ID,location,country,riskLevel
proj001,PRJ-SV001,Sudden Valley Phase 1,Residential development in desert location - Model homes and initial infrastructure,Real Estate Development,Active,2003-01-15,2005-12-31,,18000000.00,22000000.00,4000000.00,emp003,cc01,,Sudden Valley CA,US,High
proj002,PRJ-SV002,Sudden Valley Phase 2,Additional 200 homes - HALTED due to housing crash,Real Estate Development,Cancelled,2006-01-01,2008-12-31,,35000000.00,8500000.00,-26500000.00,emp003,cc01,,Sudden Valley CA,US,Critical
proj003,PRJ-IQ001,Iraq Model Home,Construction of model home in Iraq - Homeland Security contract,International Construction,Active,2005-06-01,2006-06-01,,4000000.00,4500000.00,500000.00,emp001,cc03,,Baghdad,IQ,Critical
proj004,PRJ-MX001,Cornballer Mexico Launch,Manufacturing and distribution of Cornballer in Mexico where it is legal,Manufacturing,Completed,2002-01-01,2002-12-31,2003-03-15,500000.00,650000.00,150000.00,emp001,cc02,,Cabo San Lucas,MX,High
proj005,PRJ-BS001,Banana Stand Franchise Expansion,Expansion of frozen banana stands along Orange County coastline,Retail Expansion,Active,2004-06-01,2005-06-01,,150000.00,275000.00,125000.00,emp004,cc01,,Newport Beach CA,US,Medium
proj006,PRJ-SV003,Sudden Valley Community Center,Community amenities never completed - pool remains a hole,Real Estate Development,Cancelled,2004-01-01,2005-06-01,,2500000.00,1200000.00,-1300000.00,emp003,cc01,,Sudden Valley CA,US,High
proj007,PRJ-FAKE01,Fakeblock Development,Proprietary anti-piracy software development by George Michael,Technology,Active,2013-01-01,2014-12-31,,50000.00,125000.00,75000.00,emp007,cc01,,Model Home Sudden Valley,US,High
proj008,PRJ-YACHT01,Yacht Renovation - Seaward,Renovation of company yacht - personal use by executives,Marine,Completed,2003-08-01,2004-02-01,2004-06-30,350000.00,520000.00,170000.00,emp002,cc01,,Newport Harbor,US,Medium
proj009,PRJ-OFFICE01,Bluth Company HQ Renovation,Office renovation including secret room for George Sr,Construction,Completed,2001-01-01,2001-12-31,2002-03-31,800000.00,1100000.00,300000.00,emp001,cc01,,Newport Beach CA,US,Medium
proj010,PRJ-WB001,Wee Britain Development,Tiny Britain themed development in Orange County,Real Estate Development,Cancelled,2005-09-01,2007-12-31,,5000000.00,750000.00,-4250000.00,emp003,cc01,,Orange County CA,US,High
proj011,PRJ-STAIR01,Stair Car Fleet Acquisition,Purchase of stair cars for company and personal use,Equipment,Completed,2000-06-01,2000-07-01,2000-07-15,75000.00,82000.00,7000.00,emp004,cc01,,Newport Beach CA,US,Low
proj012,PRJ-MAGIC01,GOB Magic Show Production,Production of Sword of Destiny and other illusions,Entertainment,Active,2004-03-01,2004-12-31,,200000.00,325000.00,125000.00,emp004,cc01,,Various,US,High
