ID,accountNumber,name,accountType,category,isActive,balance
gl001,1000,Cash - Operating,Asset,Current Assets,true,1250000.00
gl002,1010,Cash - Banana Stand,Asset,Current Assets,true,250000.00
gl003,1100,Accounts Receivable,Asset,Current Assets,true,890000.00
gl004,1200,Inventory - Frozen Bananas,Asset,Current Assets,true,45000.00
gl005,1210,Inventory - Cornballer,Asset,Current Assets,true,125000.00
gl006,1300,Prepaid Expenses,Asset,Current Assets,true,67000.00
gl007,1400,Notes Receivable - Related Party,Asset,Current Assets,true,500000.00
gl008,1500,Land,Asset,Fixed Assets,true,15000000.00
gl009,1510,Buildings,Asset,Fixed Assets,true,8500000.00
gl010,1520,Construction in Progress - Sudden Valley,Asset,Fixed Assets,true,22000000.00
gl011,1530,Construction in Progress - Iraq,Asset,Fixed Assets,true,4500000.00
gl012,1600,Vehicles,Asset,Fixed Assets,true,350000.00
gl013,1610,Stair Car,Asset,Fixed Assets,true,12000.00
gl014,1700,Accumulated Depreciation,Asset,Contra Asset,true,-2100000.00
gl015,2000,Accounts Payable,Liability,Current Liabilities,true,-1200000.00
gl016,2100,Accrued Expenses,Liability,Current Liabilities,true,-450000.00
gl017,2200,Payroll Liabilities,Liability,Current Liabilities,true,-180000.00
gl018,2300,Notes Payable - Related Party,Liability,Current Liabilities,true,-750000.00
gl019,2400,Unearned Revenue,Liability,Current Liabilities,true,-125000.00
gl020,2500,Long-term Debt,Liability,Long-term Liabilities,true,-12000000.00
gl021,2600,SEC Penalties Payable,Liability,Current Liabilities,true,-2000000.00
gl022,3000,Common Stock,Equity,Equity,true,-1000000.00
gl023,3100,Retained Earnings,Equity,Equity,true,-15000000.00
gl024,3200,Current Year Earnings,Equity,Equity,true,-2500000.00
gl025,4000,Revenue - Construction,Revenue,Operating Revenue,true,-18000000.00
gl026,4100,Revenue - Frozen Banana Sales,Revenue,Operating Revenue,true,-450000.00
gl027,4110,Revenue - Banana Stand Cash,Revenue,Operating Revenue,true,-180000.00
gl028,4200,Revenue - Cornballer Sales (Mexico),Revenue,Operating Revenue,true,-320000.00
gl029,4210,Revenue - Cornballer Sales (US - ILLEGAL),Revenue,Operating Revenue,true,-45000.00
gl030,4300,Revenue - Real Estate Sales,Revenue,Operating Revenue,true,-5200000.00
gl031,5000,Cost of Goods Sold - Construction,Expense,COGS,true,14500000.00
gl032,5100,Cost of Goods Sold - Frozen Bananas,Expense,COGS,true,180000.00
gl033,5200,Cost of Goods Sold - Cornballer,Expense,COGS,true,95000.00
gl034,6000,Salaries and Wages,Expense,Operating Expense,true,3200000.00
gl035,6010,Executive Compensation,Expense,Operating Expense,true,1800000.00
gl036,6020,Bonus Expense,Expense,Operating Expense,true,750000.00
gl037,6100,Legal Fees,Expense,Operating Expense,true,890000.00
gl038,6110,SEC Defense Costs,Expense,Operating Expense,true,1200000.00
gl039,6200,Professional Services,Expense,Operating Expense,true,340000.00
gl040,6300,Rent Expense,Expense,Operating Expense,true,420000.00
gl041,6310,Rent - Balboa Towers (Personal Use),Expense,Operating Expense,true,156000.00
gl042,6400,Entertainment Expense,Expense,Operating Expense,true,280000.00
gl043,6410,Magic Show Expenses,Expense,Operating Expense,true,125000.00
gl044,6500,Travel Expense,Expense,Operating Expense,true,190000.00
gl045,6510,Travel - Mexico Operations,Expense,Operating Expense,true,85000.00
gl046,6600,Insurance Expense,Expense,Operating Expense,true,320000.00
gl047,6610,Fire Insurance - Banana Stand,Expense,Operating Expense,true,50000.00
gl048,6700,Marketing and Advertising,Expense,Operating Expense,true,175000.00
gl049,6800,Utilities,Expense,Operating Expense,true,145000.00
gl050,6900,Depreciation Expense,Expense,Operating Expense,true,420000.00
gl051,7000,Interest Expense,Expense,Other Expense,true,680000.00
gl052,7100,Foreign Exchange Loss,Expense,Other Expense,true,125000.00
gl053,7200,Penalties and Fines,Expense,Other Expense,true,350000.00
gl054,8000,Insurance Claim Proceeds,Revenue,Other Income,true,-275000.00
gl055,8100,Gain on Asset Disposal,Revenue,Other Income,true,-45000.00
